produktionsslag	månad	Eltillförsel netto, GWh
kärnkraft (kondens), netto	1999M04	6420
kärnkraft (kondens), netto	1999M05	5664
kärnkraft (kondens), netto	1999M06	3965
kärnkraft (kondens), netto	1999M07	3548
kärnkraft (kondens), netto	1999M08	4053
kärnkraft (kondens), netto	1999M09	4601
kärnkraft (kondens), netto	1999M10	6703
kärnkraft (kondens), netto	1999M11	7034
kärnkraft (kondens), netto	1999M12	6935
kärnkraft (kondens), netto	2000M01	6815
kärnkraft (kondens), netto	2000M02	6477
kärnkraft (kondens), netto	2000M03	6287
kärnkraft (kondens), netto	2000M04	5050
kärnkraft (kondens), netto	2000M05	3139
kärnkraft (kondens), netto	2000M06	2867
kärnkraft (kondens), netto	2000M07	2000
kärnkraft (kondens), netto	2000M08	2428
kärnkraft (kondens), netto	2000M09	3877
kärnkraft (kondens), netto	2000M10	5039
kärnkraft (kondens), netto	2000M11	5222
kärnkraft (kondens), netto	2000M12	5557
kärnkraft (kondens), netto	2001M01	6669
kärnkraft (kondens), netto	2001M02	6273
kärnkraft (kondens), netto	2001M03	6624
kärnkraft (kondens), netto	2001M04	5958
kärnkraft (kondens), netto	2001M05	5521
kärnkraft (kondens), netto	2001M06	4206
kärnkraft (kondens), netto	2001M07	4291
kärnkraft (kondens), netto	2001M08	4631
kärnkraft (kondens), netto	2001M09	5636
kärnkraft (kondens), netto	2001M10	6713
kärnkraft (kondens), netto	2001M11	6363
kärnkraft (kondens), netto	2001M12	6325
kärnkraft (kondens), netto	2002M01	6609
kärnkraft (kondens), netto	2002M02	5763
kärnkraft (kondens), netto	2002M03	6371
kärnkraft (kondens), netto	2002M04	5709
kärnkraft (kondens), netto	2002M05	5047
kärnkraft (kondens), netto	2002M06	4209
kärnkraft (kondens), netto	2002M07	3921
kärnkraft (kondens), netto	2002M08	4272
kärnkraft (kondens), netto	2002M09	5133
kärnkraft (kondens), netto	2002M10	5694
kärnkraft (kondens), netto	2002M11	6218
kärnkraft (kondens), netto	2002M12	6628
kärnkraft (kondens), netto	2003M01	6562
kärnkraft (kondens), netto	2003M02	5806
kärnkraft (kondens), netto	2003M03	6769
kärnkraft (kondens), netto	2003M04	6401
kärnkraft (kondens), netto	2003M05	4845
kärnkraft (kondens), netto	2003M06	3739
kärnkraft (kondens), netto	2003M07	4790
kärnkraft (kondens), netto	2003M08	4514
kärnkraft (kondens), netto	2003M09	4428
kärnkraft (kondens), netto	2003M10	5019
kärnkraft (kondens), netto	2003M11	5807
kärnkraft (kondens), netto	2003M12	6778
kärnkraft (kondens), netto	2004M01	6989
kärnkraft (kondens), netto	2004M02	6298
kärnkraft (kondens), netto	2004M03	6952
kärnkraft (kondens), netto	2004M04	6725
kärnkraft (kondens), netto	2004M05	5935
kärnkraft (kondens), netto	2004M06	5336
kärnkraft (kondens), netto	2004M07	5818
kärnkraft (kondens), netto	2004M08	4856
kärnkraft (kondens), netto	2004M09	5624
kärnkraft (kondens), netto	2004M10	6871
kärnkraft (kondens), netto	2004M11	6722
kärnkraft (kondens), netto	2004M12	6913
kärnkraft (kondens), netto	2005M01	6900
kärnkraft (kondens), netto	2005M02	6062
kärnkraft (kondens), netto	2005M03	6239
kärnkraft (kondens), netto	2005M04	5978
kärnkraft (kondens), netto	2005M05	5145
kärnkraft (kondens), netto	2005M06	4752
kärnkraft (kondens), netto	2005M07	5506
kärnkraft (kondens), netto	2005M08	4677
kärnkraft (kondens), netto	2005M09	5617
kärnkraft (kondens), netto	2005M10	5963
kärnkraft (kondens), netto	2005M11	6244
kärnkraft (kondens), netto	2005M12	6377
kärnkraft (kondens), netto	2006M01	6592
kärnkraft (kondens), netto	2006M02	5994
kärnkraft (kondens), netto	2006M03	6615
kärnkraft (kondens), netto	2006M04	6382
kärnkraft (kondens), netto	2006M05	6038
kärnkraft (kondens), netto	2006M06	4571
kärnkraft (kondens), netto	2006M07	5173
kärnkraft (kondens), netto	2006M08	3504
kärnkraft (kondens), netto	2006M09	3420
kärnkraft (kondens), netto	2006M10	5418
kärnkraft (kondens), netto	2006M11	5546
kärnkraft (kondens), netto	2006M12	5730
kärnkraft (kondens), netto	2007M01	6308
kärnkraft (kondens), netto	2007M02	4495
kärnkraft (kondens), netto	2007M03	6176
kärnkraft (kondens), netto	2007M04	6244
kärnkraft (kondens), netto	2007M05	5758
kärnkraft (kondens), netto	2007M06	4177
kärnkraft (kondens), netto	2007M07	4705
kärnkraft (kondens), netto	2007M08	4203
kärnkraft (kondens), netto	2007M09	4264
kärnkraft (kondens), netto	2007M10	5705
kärnkraft (kondens), netto	2007M11	5873
kärnkraft (kondens), netto	2007M12	6371
kärnkraft (kondens), netto	2008M01	6593
kärnkraft (kondens), netto	2008M02	5839
kärnkraft (kondens), netto	2008M03	6547
kärnkraft (kondens), netto	2008M04	6445
kärnkraft (kondens), netto	2008M05	5066
kärnkraft (kondens), netto	2008M06	3650
kärnkraft (kondens), netto	2008M07	4741
kärnkraft (kondens), netto	2008M08	4417
kärnkraft (kondens), netto	2008M09	4978
kärnkraft (kondens), netto	2008M10	4709
kärnkraft (kondens), netto	2008M11	4076
kärnkraft (kondens), netto	2008M12	4205
kärnkraft (kondens), netto	2009M01	6289
kärnkraft (kondens), netto	2009M02	5753
kärnkraft (kondens), netto	2009M03	5176
kärnkraft (kondens), netto	2009M04	4569
kärnkraft (kondens), netto	2009M05	4381
kärnkraft (kondens), netto	2009M06	4241
kärnkraft (kondens), netto	2009M07	3771
kärnkraft (kondens), netto	2009M08	2820
kärnkraft (kondens), netto	2009M09	2540
kärnkraft (kondens), netto	2009M10	3420
kärnkraft (kondens), netto	2009M11	3316
kärnkraft (kondens), netto	2009M12	3747
kärnkraft (kondens), netto	2010M01	4670
kärnkraft (kondens), netto	2010M02	3891
kärnkraft (kondens), netto	2010M03	5088
kärnkraft (kondens), netto	2010M04	5522
kärnkraft (kondens), netto	2010M05	5699
kärnkraft (kondens), netto	2010M06	5082
kärnkraft (kondens), netto	2010M07	4427
kärnkraft (kondens), netto	2010M08	4619
kärnkraft (kondens), netto	2010M09	3356
kärnkraft (kondens), netto	2010M10	2864
kärnkraft (kondens), netto	2010M11	4653
kärnkraft (kondens), netto	2010M12	5755
kärnkraft (kondens), netto	2011M01	6571
kärnkraft (kondens), netto	2011M02	5828
kärnkraft (kondens), netto	2011M03	6478
kärnkraft (kondens), netto	2011M04	4972
kärnkraft (kondens), netto	2011M05	4861
kärnkraft (kondens), netto	2011M06	3747
kärnkraft (kondens), netto	2011M07	5061
kärnkraft (kondens), netto	2011M08	4305
kärnkraft (kondens), netto	2011M09	3314
kärnkraft (kondens), netto	2011M10	3468
kärnkraft (kondens), netto	2011M11	3902
kärnkraft (kondens), netto	2011M12	5519
kärnkraft (kondens), netto	2012M01	5360
kärnkraft (kondens), netto	2012M02	4814
kärnkraft (kondens), netto	2012M03	5638
kärnkraft (kondens), netto	2012M04	5475
kärnkraft (kondens), netto	2012M05	4395
kärnkraft (kondens), netto	2012M06	4011
kärnkraft (kondens), netto	2012M07	4523
kärnkraft (kondens), netto	2012M08	4490
kärnkraft (kondens), netto	2012M09	4749
kärnkraft (kondens), netto	2012M10	5712
kärnkraft (kondens), netto	2012M11	6107
kärnkraft (kondens), netto	2012M12	6119
kärnkraft (kondens), netto	2013M01	6319
kärnkraft (kondens), netto	2013M02	5845
kärnkraft (kondens), netto	2013M03	6405
kärnkraft (kondens), netto	2013M04	6242
kärnkraft (kondens), netto	2013M05	4070
kärnkraft (kondens), netto	2013M06	4686
kärnkraft (kondens), netto	2013M07	5341
kärnkraft (kondens), netto	2013M08	4331
kärnkraft (kondens), netto	2013M09	3873
kärnkraft (kondens), netto	2013M10	4765
kärnkraft (kondens), netto	2013M11	5763
kärnkraft (kondens), netto	2013M12	5964
kärnkraft (kondens), netto	2014M01	6375
kärnkraft (kondens), netto	2014M02	5876
kärnkraft (kondens), netto	2014M03	6248
kärnkraft (kondens), netto	2014M04	4876
kärnkraft (kondens), netto	2014M05	3488
kärnkraft (kondens), netto	2014M06	3395
kärnkraft (kondens), netto	2014M07	5607
kärnkraft (kondens), netto	2014M08	4599
kärnkraft (kondens), netto	2014M09	4388
kärnkraft (kondens), netto	2014M10	5772
kärnkraft (kondens), netto	2014M11	5699
kärnkraft (kondens), netto	2014M12	5862
kärnkraft (kondens), netto	2015M01	5507
kärnkraft (kondens), netto	2015M02	4958
kärnkraft (kondens), netto	2015M03	5158
kärnkraft (kondens), netto	2015M04	5027
kärnkraft (kondens), netto	2015M05	3551
kärnkraft (kondens), netto	2015M06	3245
kärnkraft (kondens), netto	2015M07	4359
kärnkraft (kondens), netto	2015M08	3901
kärnkraft (kondens), netto	2015M09	4049
kärnkraft (kondens), netto	2015M10	5048
kärnkraft (kondens), netto	2015M11	4468
kärnkraft (kondens), netto	2015M12	5076
kärnkraft (kondens), netto	2016M01	6036
kärnkraft (kondens), netto	2016M02	5517
kärnkraft (kondens), netto	2016M03	6022
kärnkraft (kondens), netto	2016M04	5490
kärnkraft (kondens), netto	2016M05	4245
kärnkraft (kondens), netto	2016M06	2869
kärnkraft (kondens), netto	2016M07	4482
kärnkraft (kondens), netto	2016M08	4557
kärnkraft (kondens), netto	2016M09	4801
kärnkraft (kondens), netto	2016M10	4973
kärnkraft (kondens), netto	2016M11	5291
kärnkraft (kondens), netto	2016M12	6259
kärnkraft (kondens), netto	2017M01	6690
kärnkraft (kondens), netto	2017M02	6116
kärnkraft (kondens), netto	2017M03	6555
kärnkraft (kondens), netto	2017M04	6150
kärnkraft (kondens), netto	2017M05	5674
kärnkraft (kondens), netto	2017M06	4455
kärnkraft (kondens), netto	2017M07	4291
kärnkraft (kondens), netto	2017M08	3656
kärnkraft (kondens), netto	2017M09	3124
kärnkraft (kondens), netto	2017M10	4175
kärnkraft (kondens), netto	2017M11	5748
kärnkraft (kondens), netto	2017M12	6378
kärnkraft (kondens), netto	2018M01	6204
kärnkraft (kondens), netto	2018M02	5782
kärnkraft (kondens), netto	2018M03	6365
kärnkraft (kondens), netto	2018M04	5559
kärnkraft (kondens), netto	2018M05	4844
kärnkraft (kondens), netto	2018M06	5343
kärnkraft (kondens), netto	2018M07	5403
kärnkraft (kondens), netto	2018M08	4618
kärnkraft (kondens), netto	2018M09	4088
kärnkraft (kondens), netto	2018M10	5863
kärnkraft (kondens), netto	2018M11	5510
kärnkraft (kondens), netto	2018M12	6222
kärnkraft (kondens), netto	2019M01	6050
kärnkraft (kondens), netto	2019M02	5497
kärnkraft (kondens), netto	2019M03	5760
kärnkraft (kondens), netto	2019M04	5211
kärnkraft (kondens), netto	2019M05	4930
kärnkraft (kondens), netto	2019M06	5771
kärnkraft (kondens), netto	2019M07	5036
kärnkraft (kondens), netto	2019M08	4930
kärnkraft (kondens), netto	2019M09	4351
kärnkraft (kondens), netto	2019M10	5457
kärnkraft (kondens), netto	2019M11	5585
kärnkraft (kondens), netto	2019M12	5755
kärnkraft (kondens), netto	2020M01	5760
kärnkraft (kondens), netto	2020M02	4684
kärnkraft (kondens), netto	2020M03	5181
kärnkraft (kondens), netto	2020M04	3953
kärnkraft (kondens), netto	2020M05	3398
kärnkraft (kondens), netto	2020M06	2890
kärnkraft (kondens), netto	2020M07	3656
kärnkraft (kondens), netto	2020M08	2563
kärnkraft (kondens), netto	2020M09	3149
kärnkraft (kondens), netto	2020M10	3911
kärnkraft (kondens), netto	2020M11	3590
kärnkraft (kondens), netto	2020M12	4527
konventionell värmekraft, netto	1974M01	1268
konventionell värmekraft, netto	1974M02	941
konventionell värmekraft, netto	1974M03	1444
konventionell värmekraft, netto	1974M04	1065
konventionell värmekraft, netto	1974M05	1203
konventionell värmekraft, netto	1974M06	1324
konventionell värmekraft, netto	1974M07	743
konventionell värmekraft, netto	1974M08	1197
konventionell värmekraft, netto	1974M09	1541
konventionell värmekraft, netto	1974M10	1439
konventionell värmekraft, netto	1974M11	1516
konventionell värmekraft, netto	1974M12	1272
konventionell värmekraft, netto	1975M01	1178
konventionell värmekraft, netto	1975M02	948
konventionell värmekraft, netto	1975M03	866
konventionell värmekraft, netto	1975M04	1217
konventionell värmekraft, netto	1975M05	435
konventionell värmekraft, netto	1975M06	633
konventionell värmekraft, netto	1975M07	425
konventionell värmekraft, netto	1975M08	1130
konventionell värmekraft, netto	1975M09	933
konventionell värmekraft, netto	1975M10	731
konventionell värmekraft, netto	1975M11	920
konventionell värmekraft, netto	1975M12	779
konventionell värmekraft, netto	1976M01	1138
konventionell värmekraft, netto	1976M02	917
konventionell värmekraft, netto	1976M03	1125
konventionell värmekraft, netto	1976M04	758
konventionell värmekraft, netto	1976M05	573
konventionell värmekraft, netto	1976M06	547
konventionell värmekraft, netto	1976M07	189
konventionell värmekraft, netto	1976M08	768
konventionell värmekraft, netto	1976M09	1290
konventionell värmekraft, netto	1976M10	2086
konventionell värmekraft, netto	1976M11	2619
konventionell värmekraft, netto	1976M12	2671
konventionell värmekraft, netto	1977M01	2762
konventionell värmekraft, netto	1977M02	2516
konventionell värmekraft, netto	1977M03	2027
konventionell värmekraft, netto	1977M04	1836
konventionell värmekraft, netto	1977M05	634
konventionell värmekraft, netto	1977M06	308
konventionell värmekraft, netto	1977M07	216
konventionell värmekraft, netto	1977M08	704
konventionell värmekraft, netto	1977M09	1286
konventionell värmekraft, netto	1977M10	1283
konventionell värmekraft, netto	1977M11	1040
konventionell värmekraft, netto	1977M12	1009
konventionell värmekraft, netto	1978M01	1064
konventionell värmekraft, netto	1978M02	1252
konventionell värmekraft, netto	1978M03	1050
konventionell värmekraft, netto	1978M04	1010
konventionell värmekraft, netto	1978M05	842
konventionell värmekraft, netto	1978M06	394
konventionell värmekraft, netto	1978M07	202
konventionell värmekraft, netto	1978M08	720
konventionell värmekraft, netto	1978M09	741
konventionell värmekraft, netto	1978M10	875
konventionell värmekraft, netto	1978M11	974
konventionell värmekraft, netto	1978M12	1408
konventionell värmekraft, netto	1979M01	1937
konventionell värmekraft, netto	1979M02	1901
konventionell värmekraft, netto	1979M03	1433
konventionell värmekraft, netto	1979M04	1526
konventionell värmekraft, netto	1979M05	963
konventionell värmekraft, netto	1979M06	433
konventionell värmekraft, netto	1979M07	258
konventionell värmekraft, netto	1979M08	344
konventionell värmekraft, netto	1979M09	369
konventionell värmekraft, netto	1979M10	702
konventionell värmekraft, netto	1979M11	1045
konventionell värmekraft, netto	1979M12	1148
konventionell värmekraft, netto	1980M01	1318
konventionell värmekraft, netto	1980M02	1332
konventionell värmekraft, netto	1980M03	1532
konventionell värmekraft, netto	1980M04	896
konventionell värmekraft, netto	1980M05	392
konventionell värmekraft, netto	1980M06	343
konventionell värmekraft, netto	1980M07	255
konventionell värmekraft, netto	1980M08	595
konventionell värmekraft, netto	1980M09	635
konventionell värmekraft, netto	1980M10	907
konventionell värmekraft, netto	1980M11	1032
konventionell värmekraft, netto	1980M12	901
konventionell värmekraft, netto	1981M01	1048
konventionell värmekraft, netto	1981M02	550
konventionell värmekraft, netto	1981M03	636
konventionell värmekraft, netto	1981M04	280
konventionell värmekraft, netto	1981M05	259
konventionell värmekraft, netto	1981M06	163
konventionell värmekraft, netto	1981M07	128
konventionell värmekraft, netto	1981M08	175
konventionell värmekraft, netto	1981M09	235
konventionell värmekraft, netto	1981M10	281
konventionell värmekraft, netto	1981M11	378
konventionell värmekraft, netto	1981M12	652
konventionell värmekraft, netto	1982M01	901
konventionell värmekraft, netto	1982M02	798
konventionell värmekraft, netto	1982M03	601
konventionell värmekraft, netto	1982M04	231
konventionell värmekraft, netto	1982M05	236
konventionell värmekraft, netto	1982M06	202
konventionell värmekraft, netto	1982M07	142
konventionell värmekraft, netto	1982M08	210
konventionell värmekraft, netto	1982M09	274
konventionell värmekraft, netto	1982M10	324
konventionell värmekraft, netto	1982M11	418
konventionell värmekraft, netto	1982M12	431
konventionell värmekraft, netto	1983M01	348
konventionell värmekraft, netto	1983M02	397
konventionell värmekraft, netto	1983M03	371
konventionell värmekraft, netto	1983M04	277
konventionell värmekraft, netto	1983M05	301
konventionell värmekraft, netto	1983M06	250
konventionell värmekraft, netto	1983M07	150
konventionell värmekraft, netto	1983M08	242
konventionell värmekraft, netto	1983M09	279
konventionell värmekraft, netto	1983M10	282
konventionell värmekraft, netto	1983M11	353
konventionell värmekraft, netto	1983M12	433
konventionell värmekraft, netto	1984M01	435
konventionell värmekraft, netto	1984M02	325
konventionell värmekraft, netto	1984M03	364
konventionell värmekraft, netto	1984M04	336
konventionell värmekraft, netto	1984M05	276
konventionell värmekraft, netto	1984M06	249
konventionell värmekraft, netto	1984M07	191
konventionell värmekraft, netto	1984M08	233
konventionell värmekraft, netto	1984M09	264
konventionell värmekraft, netto	1984M10	300
konventionell värmekraft, netto	1984M11	368
konventionell värmekraft, netto	1984M12	407
konventionell värmekraft, netto	1985M01	994
konventionell värmekraft, netto	1985M02	1065
konventionell värmekraft, netto	1985M03	690
konventionell värmekraft, netto	1985M04	970
konventionell värmekraft, netto	1985M05	485
konventionell värmekraft, netto	1985M06	309
konventionell värmekraft, netto	1985M07	232
konventionell värmekraft, netto	1985M08	198
konventionell värmekraft, netto	1985M09	231
konventionell värmekraft, netto	1985M10	311
konventionell värmekraft, netto	1985M11	473
konventionell värmekraft, netto	1985M12	708
konventionell värmekraft, netto	1986M01	870
konventionell värmekraft, netto	1986M02	1073
konventionell värmekraft, netto	1986M03	807
konventionell värmekraft, netto	1986M04	766
konventionell värmekraft, netto	1986M05	272
konventionell värmekraft, netto	1986M06	243
konventionell värmekraft, netto	1986M07	205
konventionell värmekraft, netto	1986M08	391
konventionell värmekraft, netto	1986M09	420
konventionell värmekraft, netto	1986M10	578
konventionell värmekraft, netto	1986M11	652
konventionell värmekraft, netto	1986M12	633
konventionell värmekraft, netto	1987M01	1248
konventionell värmekraft, netto	1987M02	681
konventionell värmekraft, netto	1987M03	946
konventionell värmekraft, netto	1987M04	598
konventionell värmekraft, netto	1987M05	371
konventionell värmekraft, netto	1987M06	285
konventionell värmekraft, netto	1987M07	220
konventionell värmekraft, netto	1987M08	262
konventionell värmekraft, netto	1987M09	300
konventionell värmekraft, netto	1987M10	372
konventionell värmekraft, netto	1987M11	532
konventionell värmekraft, netto	1987M12	743
konventionell värmekraft, netto	1988M01	646
konventionell värmekraft, netto	1988M02	612
konventionell värmekraft, netto	1988M03	639
konventionell värmekraft, netto	1988M04	459
konventionell värmekraft, netto	1988M05	332
konventionell värmekraft, netto	1988M06	268
konventionell värmekraft, netto	1988M07	216
konventionell värmekraft, netto	1988M08	311
konventionell värmekraft, netto	1988M09	310
konventionell värmekraft, netto	1988M10	388
konventionell värmekraft, netto	1988M11	875
konventionell värmekraft, netto	1988M12	1215
konventionell värmekraft, netto	1989M01	791
konventionell värmekraft, netto	1989M02	586
konventionell värmekraft, netto	1989M03	533
konventionell värmekraft, netto	1989M04	395
konventionell värmekraft, netto	1989M05	312
konventionell värmekraft, netto	1989M06	281
konventionell värmekraft, netto	1989M07	215
konventionell värmekraft, netto	1989M08	308
konventionell värmekraft, netto	1989M09	320
konventionell värmekraft, netto	1989M10	449
konventionell värmekraft, netto	1989M11	661
konventionell värmekraft, netto	1989M12	867
konventionell värmekraft, netto	1990M01	760
konventionell värmekraft, netto	1990M02	537
konventionell värmekraft, netto	1990M03	461
konventionell värmekraft, netto	1990M04	357
konventionell värmekraft, netto	1990M05	287
konventionell värmekraft, netto	1990M06	234
konventionell värmekraft, netto	1990M07	189
konventionell värmekraft, netto	1990M08	225
konventionell värmekraft, netto	1990M09	283
konventionell värmekraft, netto	1990M10	404
konventionell värmekraft, netto	1990M11	559
konventionell värmekraft, netto	1990M12	742
konventionell värmekraft, netto	1991M01	680
konventionell värmekraft, netto	1991M02	651
konventionell värmekraft, netto	1991M03	638
konventionell värmekraft, netto	1991M04	466
konventionell värmekraft, netto	1991M05	442
konventionell värmekraft, netto	1991M06	396
konventionell värmekraft, netto	1991M07	231
konventionell värmekraft, netto	1991M08	318
konventionell värmekraft, netto	1991M09	386
konventionell värmekraft, netto	1991M10	584
konventionell värmekraft, netto	1991M11	879
konventionell värmekraft, netto	1991M12	1056
konventionell värmekraft, netto	1992M01	978
konventionell värmekraft, netto	1992M02	765
konventionell värmekraft, netto	1992M03	637
konventionell värmekraft, netto	1992M04	548
konventionell värmekraft, netto	1992M05	365
konventionell värmekraft, netto	1992M06	268
konventionell värmekraft, netto	1992M07	258
konventionell värmekraft, netto	1992M08	294
konventionell värmekraft, netto	1992M09	366
konventionell värmekraft, netto	1992M10	820
konventionell värmekraft, netto	1992M11	1054
konventionell värmekraft, netto	1992M12	1152
konventionell värmekraft, netto	1993M01	1160
konventionell värmekraft, netto	1993M02	1019
konventionell värmekraft, netto	1993M03	906
konventionell värmekraft, netto	1993M04	636
konventionell värmekraft, netto	1993M05	347
konventionell värmekraft, netto	1993M06	335
konventionell värmekraft, netto	1993M07	286
konventionell värmekraft, netto	1993M08	306
konventionell värmekraft, netto	1993M09	449
konventionell värmekraft, netto	1993M10	809
konventionell värmekraft, netto	1993M11	1147
konventionell värmekraft, netto	1993M12	1224
konventionell värmekraft, netto	1994M01	1194
konventionell värmekraft, netto	1994M02	1212
konventionell värmekraft, netto	1994M03	1230
konventionell värmekraft, netto	1994M04	754
konventionell värmekraft, netto	1994M05	430
konventionell värmekraft, netto	1994M06	367
konventionell värmekraft, netto	1994M07	285
konventionell värmekraft, netto	1994M08	368
konventionell värmekraft, netto	1994M09	526
konventionell värmekraft, netto	1994M10	964
konventionell värmekraft, netto	1994M11	1060
konventionell värmekraft, netto	1994M12	1156
konventionell värmekraft, netto	1995M01	1353
konventionell värmekraft, netto	1995M02	1172
konventionell värmekraft, netto	1995M03	1185
konventionell värmekraft, netto	1995M04	875
konventionell värmekraft, netto	1995M05	524
konventionell värmekraft, netto	1995M06	315
konventionell värmekraft, netto	1995M07	298
konventionell värmekraft, netto	1995M08	339
konventionell värmekraft, netto	1995M09	529
konventionell värmekraft, netto	1995M10	634
konventionell värmekraft, netto	1995M11	990
konventionell värmekraft, netto	1995M12	1285
konventionell värmekraft, netto	1996M01	1401
konventionell värmekraft, netto	1996M02	1608
konventionell värmekraft, netto	1996M03	1398
konventionell värmekraft, netto	1996M04	1117
konventionell värmekraft, netto	1996M05	985
konventionell värmekraft, netto	1996M06	609
konventionell värmekraft, netto	1996M07	468
konventionell värmekraft, netto	1996M08	900
konventionell värmekraft, netto	1996M09	1284
konventionell värmekraft, netto	1996M10	1123
konventionell värmekraft, netto	1996M11	1170
konventionell värmekraft, netto	1996M12	1467
konventionell värmekraft, netto	1997M01	1448
konventionell värmekraft, netto	1997M02	1137
konventionell värmekraft, netto	1997M03	1154
konventionell värmekraft, netto	1997M04	880
konventionell värmekraft, netto	1997M05	556
konventionell värmekraft, netto	1997M06	359
konventionell värmekraft, netto	1997M07	297
konventionell värmekraft, netto	1997M08	335
konventionell värmekraft, netto	1997M09	423
konventionell värmekraft, netto	1997M10	682
konventionell värmekraft, netto	1997M11	984
konventionell värmekraft, netto	1997M12	1278
konventionell värmekraft, netto	1998M01	1305
konventionell värmekraft, netto	1998M02	1121
konventionell värmekraft, netto	1998M03	1224
konventionell värmekraft, netto	1998M04	929
konventionell värmekraft, netto	1998M05	523
konventionell värmekraft, netto	1998M06	436
konventionell värmekraft, netto	1998M07	344
konventionell värmekraft, netto	1998M08	396
konventionell värmekraft, netto	1998M09	437
konventionell värmekraft, netto	1998M10	708
konventionell värmekraft, netto	1998M11	1150
konventionell värmekraft, netto	1998M12	1278
konventionell värmekraft, netto	1999M01	1304
konventionell värmekraft, netto	1999M02	1231
konventionell värmekraft, netto	1999M03	1186
konventionell värmekraft, netto	1999M04	744
konventionell värmekraft, netto	1999M05	557
konventionell värmekraft, netto	1999M06	409
konventionell värmekraft, netto	1999M07	355
konventionell värmekraft, netto	1999M08	409
konventionell värmekraft, netto	1999M09	411
konventionell värmekraft, netto	1999M10	652
konventionell värmekraft, netto	1999M11	962
konventionell värmekraft, netto	1999M12	1328
konventionell värmekraft, netto	2000M01	1324
konventionell värmekraft, netto	2000M02	1200
konventionell värmekraft, netto	2000M03	1166
konventionell värmekraft, netto	2000M04	778
konventionell värmekraft, netto	2000M05	531
konventionell värmekraft, netto	2000M06	424
konventionell värmekraft, netto	2000M07	342
konventionell värmekraft, netto	2000M08	346
konventionell värmekraft, netto	2000M09	428
konventionell värmekraft, netto	2000M10	543
konventionell värmekraft, netto	2000M11	826
konventionell värmekraft, netto	2000M12	946
konventionell värmekraft, netto	2001M01	1162
konventionell värmekraft, netto	2001M02	1130
konventionell värmekraft, netto	2001M03	1199
konventionell värmekraft, netto	2001M04	926
konventionell värmekraft, netto	2001M05	536
konventionell värmekraft, netto	2001M06	474
konventionell värmekraft, netto	2001M07	420
konventionell värmekraft, netto	2001M08	399
konventionell värmekraft, netto	2001M09	421
konventionell värmekraft, netto	2001M10	614
konventionell värmekraft, netto	2001M11	1067
konventionell värmekraft, netto	2001M12	1313
konventionell värmekraft, netto	2002M01	1278
konventionell värmekraft, netto	2002M02	1029
konventionell värmekraft, netto	2002M03	1091
konventionell värmekraft, netto	2002M04	776
konventionell värmekraft, netto	2002M05	546
konventionell värmekraft, netto	2002M06	437
konventionell värmekraft, netto	2002M07	416
konventionell värmekraft, netto	2002M08	403
konventionell värmekraft, netto	2002M09	562
konventionell värmekraft, netto	2002M10	984
konventionell värmekraft, netto	2002M11	1494
konventionell värmekraft, netto	2002M12	2164
konventionell värmekraft, netto	2003M01	2165
konventionell värmekraft, netto	2003M02	1693
konventionell värmekraft, netto	2003M03	1464
konventionell värmekraft, netto	2003M04	1164
konventionell värmekraft, netto	2003M05	852
konventionell värmekraft, netto	2003M06	658
konventionell värmekraft, netto	2003M07	611
konventionell värmekraft, netto	2003M08	467
konventionell värmekraft, netto	2003M09	551
konventionell värmekraft, netto	2003M10	1100
konventionell värmekraft, netto	2003M11	1291
konventionell värmekraft, netto	2003M12	1463
konventionell värmekraft, netto	2004M01	1704
konventionell värmekraft, netto	2004M02	1466
konventionell värmekraft, netto	2004M03	1535
konventionell värmekraft, netto	2004M04	1190
konventionell värmekraft, netto	2004M05	874
konventionell värmekraft, netto	2004M06	701
konventionell värmekraft, netto	2004M07	576
konventionell värmekraft, netto	2004M08	525
konventionell värmekraft, netto	2004M09	695
konventionell värmekraft, netto	2004M10	1031
konventionell värmekraft, netto	2004M11	1318
konventionell värmekraft, netto	2004M12	1451
konventionell värmekraft, netto	2005M01	1458
konventionell värmekraft, netto	2005M02	1462
konventionell värmekraft, netto	2005M03	1479
konventionell värmekraft, netto	2005M04	1100
konventionell värmekraft, netto	2005M05	907
konventionell värmekraft, netto	2005M06	654
konventionell värmekraft, netto	2005M07	559
konventionell värmekraft, netto	2005M08	561
konventionell värmekraft, netto	2005M09	586
konventionell värmekraft, netto	2005M10	836
konventionell värmekraft, netto	2005M11	1108
konventionell värmekraft, netto	2005M12	1485
konventionell värmekraft, netto	2006M01	1663
konventionell värmekraft, netto	2006M02	1485
konventionell värmekraft, netto	2006M03	1659
konventionell värmekraft, netto	2006M04	1196
konventionell värmekraft, netto	2006M05	838
konventionell värmekraft, netto	2006M06	611
konventionell värmekraft, netto	2006M07	598
konventionell värmekraft, netto	2006M08	640
konventionell värmekraft, netto	2006M09	748
konventionell värmekraft, netto	2006M10	1070
konventionell värmekraft, netto	2006M11	1485
konventionell värmekraft, netto	2006M12	1424
konventionell värmekraft, netto	2007M01	1584
konventionell värmekraft, netto	2007M02	1608
konventionell värmekraft, netto	2007M03	1364
konventionell värmekraft, netto	2007M04	1169
konventionell värmekraft, netto	2007M05	961
konventionell värmekraft, netto	2007M06	724
konventionell värmekraft, netto	2007M07	682
konventionell värmekraft, netto	2007M08	613
konventionell värmekraft, netto	2007M09	683
